****************************************
Report : cell
Design : Register_File
Version: O-2018.06-SP1
Date   : Sun Aug 30 01:20:22 2026
****************************************

Attributes:
    b - black box (unknown)
    c - control logic
    h - hierarchical
    n - noncombinational
    r - removable
    s - synthetic operator
    u - contains unmapped logic

Cell                      Reference       Library             Area  Attributes
--------------------------------------------------------------------------------
B_0                       GTECH_BUF       gtech           0.000000  c, u
B_1                       GTECH_BUF       gtech           0.000000  c, u
B_2                       GTECH_BUF       gtech           0.000000  c, u
B_3                       GTECH_BUF       gtech           0.000000  c, u
C612                      GTECH_AND2      gtech           0.000000  u
C613                      GTECH_AND2      gtech           0.000000  u
C614                      GTECH_AND2      gtech           0.000000  u
C615                      GTECH_AND2      gtech           0.000000  u
C616                      GTECH_AND2      gtech           0.000000  u
C617                      GTECH_AND2      gtech           0.000000  u
C618                      GTECH_AND2      gtech           0.000000  u
C619                      GTECH_AND2      gtech           0.000000  u
C621                      GTECH_AND2      gtech           0.000000  u
C623                      GTECH_AND2      gtech           0.000000  u
C625                      GTECH_AND2      gtech           0.000000  u
C627                      GTECH_AND2      gtech           0.000000  u
C628                      *SELECT_OP_3.8_3.1_8            0.000000  s, u
C629                      *SELECT_OP_3.1_3.1_1            0.000000  s, u
C630                      *MUX_OP_8_3_16                  0.000000  s, u
C636                      GTECH_OR2       gtech           0.000000  c, u
C639                      GTECH_AND2      gtech           0.000000  c, u
I_0                       GTECH_NOT       gtech           0.000000  u
I_1                       GTECH_NOT       gtech           0.000000  u
I_2                       GTECH_NOT       gtech           0.000000  u
I_3                       GTECH_NOT       gtech           0.000000  u
I_4                       GTECH_NOT       gtech           0.000000  u
I_5                       GTECH_NOT       gtech           0.000000  u
I_6                       GTECH_NOT       gtech           0.000000  u
I_7                       GTECH_NOT       gtech           0.000000  u
I_8                       GTECH_NOT       gtech           0.000000  u
I_9                       GTECH_NOT       gtech           0.000000  c, u
I_10                      GTECH_NOT       gtech           0.000000  c, u
RdData_reg[0]             **SEQGEN**                      0.000000  n, u
RdData_reg[1]             **SEQGEN**                      0.000000  n, u
RdData_reg[2]             **SEQGEN**                      0.000000  n, u
RdData_reg[3]             **SEQGEN**                      0.000000  n, u
RdData_reg[4]             **SEQGEN**                      0.000000  n, u
RdData_reg[5]             **SEQGEN**                      0.000000  n, u
RdData_reg[6]             **SEQGEN**                      0.000000  n, u
RdData_reg[7]             **SEQGEN**                      0.000000  n, u
RdData_reg[8]             **SEQGEN**                      0.000000  n, u
RdData_reg[9]             **SEQGEN**                      0.000000  n, u
RdData_reg[10]            **SEQGEN**                      0.000000  n, u
RdData_reg[11]            **SEQGEN**                      0.000000  n, u
RdData_reg[12]            **SEQGEN**                      0.000000  n, u
RdData_reg[13]            **SEQGEN**                      0.000000  n, u
RdData_reg[14]            **SEQGEN**                      0.000000  n, u
RdData_reg[15]            **SEQGEN**                      0.000000  n, u
Reg_File_reg[0][0]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[0][1]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[0][2]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[0][3]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[0][4]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[0][5]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[0][6]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[0][7]        **SEQGEN**                      0.000000  n, u
